VTID,Chrosome,Start,End,Length,Verification Status,Positive,stg4_6,stg7_8,stg9_10,stg11_12,stg13_14,stg15_16
VT0270,chr2L,585826,587936,2110,correct,0,NA,NA,NA,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1,ventral_nerve_cord_subset;1|brain_subset;1,brain_subset;1
VT0274,chr2L,592497,593791,1294,correct,0,NA,NA,NA,NA,NA,brain_subset;1
VT0275,chr2L,594183,594824,641,correct,0,NA,NA,NA,NA,NA,NA
VT0277,chr2L,596726,598791,2065,correct,1,NA,NA,brain_anlage_subset;2|ventral_nerve_cord_anlage_subset;2,brain_primordium_broad;4|ventral_nerve_cord_primordium_subset;3,ventral_nerve_cord_subset;3|brain_broad;3,brain_broad;2|ventral_nerve_cord_broad;2
VT0278,chr2L,597778,599872,2094,correct,1,NA,procephalic_ectoderm_anlage;3,brain_anlage_subset;3|ventral_nerve_cord_anlage_subset;3,brain_primordium_subset;3|ventral_nerve_cord_primordium_subset;2,ventral_nerve_cord_subset;1|brain_subset;3,ventral_nerve_cord_subset;1|brain_subset;1
VT0279,chr2L,598791,601002,2211,correct,1,procephalic_ectoderm_AISN;3,procephalic_ectoderm_anlage;3,brain_anlage_subset;3,brain_primordium_subset;3,NA,NA
VT0327,chr2L,700634,702788,2154,correct,0,NA,NA,NA,NA,NA,NA
VT0341,chr2L,725796,728442,2646,correct,0,NA,NA,NA,NA,NA,NA
VT0342,chr2L,730427,732657,2230,correct,1,NA,NA,NA,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;2,ventral_nerve_cord_subset;2|brain_subset;2,ventral_nerve_cord_subset;1|brain_subset;1
VT0343,chr2L,732024,734172,2148,correct,0,NA,NA,NA,NA,NA,NA
VT0345,chr2L,735151,737255,2104,correct,1,NA,NA,NA,NA,NA,ventral_epidermis_subset;3|head_epidermis_subset;3
VT0347,chr2L,739901,740407,506,correct,0,NA,NA,NA,NA,NA,NA
VT0348,chr2L,740623,742788,2165,correct,0,NA,NA,NA,NA,NA,NA
VT0349,chr2L,742271,744374,2103,correct,1,NA,NA,NA,NA,visceral_muscle_subset;2,midgut_chamber;2|brain_broad;1|ventral_nerve_cord_broad;1|visceral_muscle_subset;2
VT0350,chr2L,744355,746905,2550,correct,0,NA,NA,NA,NA,NA,NA
VT0351,chr2L,746280,748374,2094,correct,0,NA,NA,NA,NA,NA,NA
VT0353,chr2L,748825,750915,2090,correct,1,NA,NA,ventral_ectoderm_anlage;2,NA,NA,NA
VT0357,chr2L,762067,764189,2122,correct,0,NA,NA,NA,NA,anterior_ventral_nerve_cord_subset;1,anterior_ventral_nerve_cord_subset;1
VT0359,chr2L,765293,767388,2095,correct,0,NA,NA,NA,NA,NA,NA
VT0360,chr2L,766890,769060,2170,correct,1,NA,NA,NA,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;2,brain_subset;2|anterior_ventral_nerve_cord_broad;2,ventral_nerve_cord_subset;2|brain_subset;2
VT0362,chr2L,772191,773620,1429,correct,0,NA,NA,NA,NA,NA,NA
VT0440,chr2L,917706,919920,2214,correct,1,NA,NA,NA,brain_primordium_subset;2,ventral_nerve_cord_subset;1|brain_subset;2,NA
VT0441,chr2L,918805,920902,2097,not_verified,0,NA,NA,NA,NA,NA,NA
VT0443,chr2L,922814,924894,2080,correct,1,NA,NA,NA,NA,NA,atrium;2
VT0444,chr2L,924596,926677,2081,correct,0,NA,NA,NA,NA,ventral_nerve_cord_subset;1,NA
VT0445,chr2L,926355,928443,2088,correct,1,NA,NA,NA,NA,amnioserosa;3,amnioserosa;2|visceral_muscle_subset;1|sensory_system_head;3
VT0447,chr2L,929936,932031,2095,correct,0,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;1,brain_broad;1|ventral_nerve_cord_broad;1
VT0449,chr2L,933501,935600,2099,correct,0,NA,NA,NA,NA,NA,NA
VT0450,chr2L,935265,937384,2119,correct,1,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;1,brain_broad;2|ventral_nerve_cord_broad;2
VT0451,chr2L,937049,939137,2088,correct,1,NA,NA,NA,NA,NA,ventral_nerve_cord_subset;2
VT0454,chr2L,942407,944503,2096,correct,0,NA,NA,NA,NA,NA,NA
VT0455,chr2L,944145,946378,2233,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;2,ventral_nerve_cord_subset;2
VT0456,chr2L,945907,948100,2193,correct,0,NA,NA,NA,NA,ventral_epidermis_subset;1|anterior_ventral_nerve_cord_subset;1,ventral_epidermis_subset;1|anterior_ventral_nerve_cord_subset;1
VT0458,chr2L,949550,951670,2120,correct,0,NA,NA,NA,NA,NA,NA
VT0460,chr2L,955940,956507,567,correct,0,NA,NA,NA,NA,NA,NA
VT0461,chr2L,956568,957379,811,correct,0,NA,NA,NA,NA,NA,NA
VT0462,chr2L,958044,960156,2112,correct,0,NA,NA,NA,NA,NA,NA
VT0463,chr2L,959784,961863,2079,correct,0,NA,NA,NA,NA,NA,NA
VT0465,chr2L,963184,965360,2176,correct,1,NA,NA,NA,NA,esophagus;2,pharynx;2|esophagus;3
VT0468,chr2L,968385,970534,2149,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;2|brain_subset;1,ventral_nerve_cord_subset;2
VT0534,chr2L,1112591,1113081,490,correct,0,NA,NA,NA,NA,NA,NA
VT0535,chr2L,1112984,1113860,876,correct,0,NA,NA,NA,NA,NA,NA
VT0536,chr2L,1114073,1114877,804,correct,0,NA,NA,NA,NA,NA,NA
VT0605,chr2L,1242108,1244308,2200,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;3,ventral_nerve_cord_subset;3|brain_subset;2
VT0606,chr2L,1243832,1246124,2292,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;1|brain_subset;2,ventral_nerve_cord_subset;1|brain_subset;2
VT0607,chr2L,1245713,1247794,2081,correct,1,NA,NA,ventral_nerve_cord_anlage_subset;2,ventral_nerve_cord_primordium_subset;3,ventral_nerve_cord_subset;3|brain_subset;2,ventral_nerve_cord_subset;3|brain_subset;2
VT0608,chr2L,1247472,1249637,2165,correct,1,NA,NA,NA,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1,ventral_nerve_cord_subset;2|brain_subset;3,ventral_nerve_cord_subset;2|brain_subset;3
VT0609,chr2L,1249212,1251375,2163,correct,1,NA,NA,NA,NA,NA,ventral_nerve_cord_subset;3
VT0610,chr2L,1251071,1253252,2181,correct,1,NA,NA,NA,NA,NA,ventral_nerve_cord_subset;3|brain_subset;1
VT0611,chr2L,1252807,1254924,2117,correct,1,NA,NA,NA,anterior_ventral_nerve_cord_primordium_subset;2,anterior_ventral_nerve_cord_broad;2,head_subset;3|anterior_ventral_nerve_cord_subset;3
VT0613,chr2L,1256737,1259024,2287,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;2|brain_subset;2,ventral_nerve_cord_subset;3|brain_subset;2
VT0618,chr2L,1265798,1267882,2084,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;2,ventral_nerve_cord_subset;2
VT0619,chr2L,1267525,1269658,2133,correct,1,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;1,ventral_nerve_cord_broad;1|brain_subset;2
VT0620,chr2L,1269366,1271511,2145,correct,0,NA,NA,NA,NA,head_subset;1,head_subset;1
VT0622,chr2L,1272936,1275026,2090,correct,1,NA,NA,NA,brain_primordium_subset;3,head_subset;3|lateral_epidermis_subset;3|ventral_nerve_cord_subset;2|brain_subset;2|peripheral_nervous_system;3|head_epidermis_lateral_subset;3,head_subset;2|ventral_nerve_cord_subset;2|brain_subset;2
VT0624,chr2L,1276525,1278627,2102,correct,0,NA,NA,NA,NA,NA,NA
VT0625,chr2L,1278316,1280419,2103,correct,1,NA,NA,NA,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;2,ventral_nerve_cord_subset;2|brain_subset;2,ventral_nerve_cord_subset;2|brain_subset;2
VT0627,chr2L,1281881,1284000,2119,correct,0,NA,NA,NA,NA,NA,ventral_nerve_cord_subset;1|brain_subset;1
VT0628,chr2L,1283710,1285794,2084,correct,0,NA,NA,NA,NA,NA,NA
VT0629,chr2L,1287003,1289097,2094,correct,0,NA,NA,NA,NA,NA,anterior_ventral_nerve_cord_subset;1
VT0635,chr2L,1298259,1300348,2089,correct,0,NA,NA,NA,NA,NA,NA
VT0688,chr2L,1395876,1398008,2132,correct,1,NA,NA,brain_anlage_subset;3,brain_primordium_subset;3,ventral_nerve_cord_subset;2|brain_subset;3,ventral_nerve_cord_subset;2|brain_subset;3
VT0695,chr2L,1407877,1410078,2201,correct,0,NA,NA,NA,NA,NA,NA
VT0765,chr2L,1534184,1536381,2197,correct,0,NA,NA,NA,NA,NA,NA
VT0767,chr2L,1537502,1539714,2212,correct,0,NA,NA,NA,NA,NA,NA
VT0768,chr2L,1539238,1541347,2109,correct,1,dorsal_ectoderm_AISN_subset;3,NA,NA,NA,NA,NA
VT0769,chr2L,1540940,1543073,2133,correct,1,NA,NA,NA,NA,NA,ventral_nerve_cord_subset;2|brain_subset;2
VT0770,chr2L,1542659,1544767,2108,correct,1,dorsal_ectoderm_AISN_broad;1,dorsal_ectoderm_anlage_broad;2,NA,NA,NA,head_subset;3
VT0771,chr2L,1544249,1546451,2202,correct,1,NA,NA,NA,NA,NA,lateral_epidermis_subset;3|head_epidermis_subset;3
VT0772,chr2L,1545957,1548150,2193,correct,1,NA,NA,NA,ventral_nerve_cord_primordium_subset;1,ventral_midline;3,ventral_midline;3
VT0773,chr2L,1547751,1549998,2247,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;1,head_subset;3
VT0774,chr2L,1549448,1551565,2117,correct,1,NA,NA,NA,head_subset;2,NA,NA
VT0775,chr2L,1551126,1553346,2220,correct,0,NA,NA,NA,NA,NA,NA
VT0776,chr2L,1552677,1555201,2524,correct,0,NA,NA,NA,NA,NA,NA
VT0809,chr2L,1616067,1618220,2153,correct,1,NA,NA,NA,NA,NA,brain_broad;2|ventral_nerve_cord_broad;2
VT0810,chr2L,1617792,1619910,2118,correct,1,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;1,brain_broad;3|ventral_nerve_cord_broad;3
VT0811,chr2L,1619556,1621632,2076,correct,1,NA,NA,NA,NA,brain_broad;2,brain_broad;3|ventral_nerve_cord_broad;2
VT0812,chr2L,1621230,1623444,2214,correct,1,posterior_endoderm_AISN;1|head_mesoderm_AISN;3,trunk_mesoderm_anlage_broad;3,trunk_mesoderm_anlage;3,NA,NA,brain_subset;1
VT0815,chr2L,1626476,1628690,2214,correct,1,NA,NA,NA,NA,head_subset;2|salivary_gland;2|posterior_spiracle;3,salivary_gland;2
VT0816,chr2L,1628228,1630428,2200,correct,0,NA,NA,NA,NA,NA,NA
VT0817,chr2L,1629929,1632118,2189,correct,0,NA,NA,NA,NA,NA,NA
VT0818,chr2L,1631676,1633775,2099,correct,0,NA,NA,NA,NA,NA,NA
VT0820,chr2L,1635127,1637234,2107,correct,0,NA,NA,NA,NA,NA,NA
VT0822,chr2L,1638619,1640714,2095,correct,1,NA,NA,NA,NA,NA,antenno-maxillary-labial_complex;2
VT0823,chr2L,1640262,1642449,2187,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;2,ventral_nerve_cord_subset;4
VT0824,chr2L,1642021,1644176,2155,correct,0,NA,NA,NA,NA,NA,NA
VT0827,chr2L,1647253,1649360,2107,correct,1,NA,NA,NA,ventral_nerve_cord_primordium_subset;1,ventral_nerve_cord_subset;2|brain_subset;2,brain_broad;2|ventral_nerve_cord_broad;2|proventriculus;3|anterior_hindgut;4
VT0829,chr2L,1651244,1653442,2198,correct,0,NA,NA,NA,NA,NA,NA
VT0830,chr2L,1652926,1655077,2151,correct,1,NA,NA,NA,NA,NA,head_subset;3|ubiquitous;3
VT0831,chr2L,1654580,1656818,2238,correct,1,NA,NA,NA,brain_primordium_subset;1|posterior_spiracle_specific_anlage;3,brain_subset;1|posterior_spiracle;3,midgut_chamber;2|proventriculus;2|salivary_gland;2
VT0832,chr2L,1656378,1658488,2110,not_verified,1,NA,NA,NA,NA,head_epidermis_lateral_subset;3,ubiquitous;2|head_epidermis_lateral_subset;3
VT0833,chr2L,1658116,1660238,2122,not_verified,0,NA,NA,ventral_nerve_cord_anlage_subset;1,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1,NA,NA
VT0834,chr2L,1659568,1661913,2345,correct,0,NA,NA,NA,NA,NA,NA
VT0836,chr2L,1663170,1665352,2182,correct,1,NA,NA,NA,ventral_nerve_cord_primordium_subset;1,brain_broad;2|ventral_nerve_cord_broad;3,lateral_epidermis_subset;3|brain_broad;3|ventral_nerve_cord_broad;3
VT0837,chr2L,1664946,1667142,2196,correct,0,NA,NA,NA,brain_primordium_broad;1,brain_broad;1|ventral_nerve_cord_broad;1,brain_broad;1|ventral_nerve_cord_broad;1
VT0841,chr2L,1671844,1673922,2078,correct,1,NA,NA,NA,ventral_nerve_cord_primordium_broad;2|brain_primordium_subset;2,brain_broad;3|ventral_nerve_cord_broad;3,brain_broad;3|ventral_nerve_cord_broad;3
VT0842,chr2L,1673553,1675720,2167,correct,0,NA,NA,NA,ventral_nerve_cord_primordium_subset;1,NA,NA
VT0845,chr2L,1686379,1688496,2117,correct,1,procephalic_ectoderm_AISN;2,procephalic_ectoderm_anlage;3,brain_anlage_subset;3,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;1,brain_subset;2,ventral_nerve_cord_subset;3|brain_subset;3
VT0847,chr2L,1689452,1691560,2108,correct,1,NA,NA,ventral_epidermis_anlage_subset;2|hindgut_anlage;3,NA,NA,NA
VT0848,chr2L,1690933,1693096,2163,correct,0,NA,NA,NA,NA,NA,NA
VT0849,chr2L,1692515,1694660,2145,correct,1,NA,NA,NA,NA,NA,amnioserosa;2
VT0850,chr2L,1698564,1700753,2189,correct,1,procephalic_ectoderm_AISN;2,procephalic_ectoderm_anlage;2,head_subset;1,hypopharynx_primordium;2,NA,NA
VT0851,chr2L,1699768,1701881,2113,correct,0,NA,NA,NA,NA,NA,NA
VT0868,chr2L,1731722,1732292,570,correct,0,NA,NA,NA,NA,NA,NA
VT0869,chr2L,1732224,1732562,338,correct,0,NA,NA,NA,NA,NA,NA
VT0870,chr2L,1732525,1734645,2120,correct,0,NA,NA,NA,NA,NA,NA
VT0871,chr2L,1734275,1736475,2200,correct,1,NA,brain_anlage;3,brain_anlage_subset;4,brain_primordium_subset;3,brain_subset;3,brain_subset;3
VT0872,chr2L,1736075,1738179,2104,correct,1,NA,procephalic_ectoderm_anlage;2,head_epidermis_dorsal_anlage;2,head_epidermis_dorsal_primordium_subset;2,brain_subset;1,NA
VT0874,chr2L,1739663,1741778,2115,correct,1,NA,hindgut_anlage;2,hindgut_anlage;2,NA,telson_subset;1|clypeolabrum;2,head_subset;2|telson_subset;2
VT0875,chr2L,1741927,1744242,2315,correct,1,NA,NA,NA,NA,NA,fat_body;2
VT0876,chr2L,1743640,1745766,2126,correct,0,NA,NA,NA,NA,NA,NA
VT0877,chr2L,1745914,1748086,2172,correct,1,NA,NA,hindgut_anlage;2,hindgut_proper_primordium;2,hindgut;2|anal_pad;2,NA
VT0921,chr2L,1838091,1840256,2165,correct,1,NA,NA,NA,NA,brain_broad;3|ventral_nerve_cord_broad;3,brain_broad;4|ventral_nerve_cord_broad;4
VT0922,chr2L,1839451,1841629,2178,not_verified,1,posterior_endoderm_AISN;3|amnioserosa_AISN;3|trunk_mesoderm_AISN_broad;2|dorsal_ectoderm_AISN_broad;3|head_mesoderm_AISN;3,procephalic_ectoderm_anlage;2|dorsal_ectoderm_anlage_broad;3,posterior_endoderm_anlage;1,somatic_muscle_primordium;3,somatic_muscle;3,NA
VT0923,chr2L,1840747,1843088,2341,correct,1,NA,NA,NA,ventral_nerve_cord_primordium_subset;1,ventral_nerve_cord_subset;1|brain_subset;1,ventral_nerve_cord_subset;2|brain_subset;1
VT0925,chr2L,1846360,1848492,2132,correct,1,NA,NA,NA,NA,lateral_epidermis_subset;1,lateral_epidermis_subset;1|ventral_nerve_cord_subset;1|brain_subset;4
VT0926,chr2L,1848036,1850221,2185,correct,1,NA,NA,NA,NA,brain_subset;3,ventral_nerve_cord_subset;3|brain_subset;3
VT0927,chr2L,1849872,1852015,2143,correct,0,NA,NA,NA,NA,NA,NA
VT0930,chr2L,1855579,1856653,1074,correct,1,NA,NA,NA,NA,NA,ventral_nerve_cord_subset;2
VT0983,chr2L,1956400,1958532,2132,correct,1,procephalic_ectoderm_AISN;3,brain_anlage;3,brain_anlage_subset;3,brain_primordium_subset;3,brain_subset;2,brain_subset;1
VT0984,chr2L,1958014,1960258,2244,correct,1,dorsal_ectoderm_AISN_subset;3|procephalic_ectoderm_AISN;3,procephalic_ectoderm_anlage;3,brain_anlage_broad;3,brain_primordium_subset;3,ventral_nerve_cord_subset;2|brain_subset;3,ventral_nerve_cord_broad;2|brain_subset;3
VT0985,chr2L,1959777,1961930,2153,correct,1,brain_anlage_AISN;3,brain_anlage;3,brain_anlage_subset;3,brain_primordium_subset;3,ventral_nerve_cord_subset;2|brain_subset;3,brain_broad;3|ventral_nerve_cord_broad;2
VT10000,chr2L,19513955,19514673,718,correct,0,NA,NA,NA,NA,NA,NA
VT10001,chr2L,19514746,19517179,2433,correct,0,NA,NA,NA,NA,NA,NA
VT10045,chr2L,19595123,19597286,2163,correct,0,NA,NA,NA,NA,NA,NA
VT10053,chr2L,19608825,19611457,2632,correct,0,NA,NA,NA,NA,NA,NA
VT10054,chr2L,19611313,19613535,2222,correct,0,NA,NA,NA,NA,NA,NA
VT10055,chr2L,19613002,19615344,2342,correct,1,NA,NA,NA,NA,NA,anterior_ventral_nerve_cord_subset;2
VT10060,chr2L,19622726,19624869,2143,correct,0,NA,NA,NA,NA,NA,lateral_epidermis_subset;1
VT10062,chr2L,19626254,19628356,2102,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;1|brain_broad;2,ventral_nerve_cord_subset;1|brain_subset;1
VT10063,chr2L,19627960,19630119,2159,correct,1,NA,NA,NA,NA,ventral_nerve_cord_broad;1|brain_subset;2,ventral_nerve_cord_subset;3|brain_subset;3
VT10064,chr2L,19629718,19631896,2178,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;3,ventral_nerve_cord_subset;3|brain_subset;1
VT10065,chr2L,19631392,19633594,2202,correct,1,NA,anterior_endoderm_anlage;3,anterior_endoderm_anlage;3,brain_primordium_subset;1,brain_subset;1,head_subset;3|ventral_nerve_cord_subset;1
VT10081,chr2L,19680676,19682797,2121,correct,0,NA,NA,NA,NA,NA,NA
VT10116,chr2L,19770969,19773042,2073,correct,1,procephalic_ectoderm_AISN;1,NA,NA,brain_primordium_subset;3,brain_subset;3,brain_subset;3
VT10117,chr2L,19771967,19774161,2194,correct,1,NA,NA,NA,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;1,brain_subset;3,brain_subset;2
VT10135,chr2L,19810066,19812148,2082,not_verified,1,dorsal_ectoderm_AISN_subset;1,NA,posterior_endoderm_anlage;2|ventral_nerve_cord_anlage_subset;1,brain_primordium_broad;1|ventral_nerve_cord_primordium_broad;1,brain_broad;1|ventral_nerve_cord_broad;1,ventral_nerve_cord_subset;2
VT10136,chr2L,19811824,19813928,2104,correct,0,NA,NA,NA,NA,NA,NA
VT10251,chr2L,20027862,20030136,2274,correct,0,NA,NA,NA,NA,NA,NA
VT10252,chr2L,20029660,20031750,2090,correct,1,NA,NA,ventral_epidermis_anlage_subset;2,peripheral_nervous_system;3,head_subset;3,NA
VT10253,chr2L,20031380,20033453,2073,correct,0,NA,NA,NA,NA,NA,NA
VT10254,chr2L,20033050,20035187,2137,correct,0,NA,NA,NA,NA,NA,NA
VT10255,chr2L,20034805,20036996,2191,correct,0,NA,NA,NA,NA,NA,NA
VT10256,chr2L,20036478,20038701,2223,correct,0,NA,NA,NA,NA,NA,head_subset;1
VT10257,chr2L,20038283,20040379,2096,correct,0,NA,NA,NA,NA,NA,NA
VT10258,chr2L,20039996,20042107,2111,correct,0,NA,NA,NA,NA,NA,NA
VT10260,chr2L,20043420,20045529,2109,correct,0,NA,NA,NA,NA,NA,NA
VT10261,chr2L,20045139,20047279,2140,correct,0,NA,NA,NA,NA,NA,NA
VT10262,chr2L,20046848,20048965,2117,correct,0,NA,NA,NA,NA,NA,NA
VT10263,chr2L,20048631,20050740,2109,correct,0,NA,NA,NA,NA,NA,NA
VT10264,chr2L,20050348,20052416,2068,correct,0,NA,NA,NA,NA,NA,NA
VT10265,chr2L,20052050,20054229,2179,correct,0,NA,NA,NA,NA,NA,NA
VT10267,chr2L,20056325,20058244,1919,correct,0,NA,NA,NA,NA,NA,NA
VT10275,chr2L,20075435,20075799,364,correct,0,NA,NA,NA,NA,NA,NA
VT10276,chr2L,20077193,20079369,2176,correct,1,NA,NA,NA,NA,midgut_broad;2,amnioserosa;3|midgut_broad;3|midgut_chamber;4
VT10279,chr2L,20082768,20085048,2280,correct,1,NA,NA,NA,NA,amnioserosa;2,NA
VT10281,chr2L,20085616,20087743,2127,correct,1,NA,NA,NA,yolk;3,hindgut;3|yolk;4|anal_pad;2,hindgut;2|anal_pad;2
VT10552,chr2L,20681331,20681873,542,correct,0,NA,NA,NA,NA,NA,NA
VT10554,chr2L,20689469,20690316,847,correct,0,NA,NA,NA,NA,NA,NA
VT10555,chr2L,20690391,20692503,2112,correct,1,NA,NA,NA,antenno-maxillary-labial_complex;1|telson;2,antenno-maxillary-labial_complex;1|telson_subset;2,head_subset;3|telson_subset;3
VT10556,chr2L,20692130,20694229,2099,correct,1,NA,NA,NA,head_subset;3,head_subset;3,head_subset;3
VT10557,chr2L,20693831,20696028,2197,correct,1,NA,amnioserosa_anlage;2,NA,NA,NA,NA
VT10558,chr2L,20695562,20697632,2070,correct,0,NA,NA,NA,NA,NA,NA
VT10559,chr2L,20697287,20699406,2119,correct,0,NA,NA,NA,NA,NA,NA
VT10562,chr2L,20702384,20704509,2125,correct,1,NA,NA,NA,trunk_mesoderm_primordium;2,NA,NA
